Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
WOODRIDGE CLINIC SC,IL,LEMONT,"$1,648 ",$0 ,$0 ,POINT (-88.00018 41.674089)
ROBERT L THOMAS MD FCC,SC,WALTERBORO,$0 ,"$22,231 ",$0 ,POINT (-80.666618 32.906899)
UM COMMUNITY MEDICAL G,MD,GLEN BURNIE,$288 ,"$3,889 ",$0 ,POINT (-76.62498400000001 39.164818)
SE EMERGENCY PHYSICIAN,KY,FRANKLIN,$889 ,$0 ,$0 ,POINT (-86.577996 36.722098)
PROMEDICA GENTIO URINA,OH,FOSTORIA,$0 ,$177 ,$0 ,POINT (-83.415861 41.155288)
USA HEALTH,AL,MOBILE,"$22,743 ","$29,594 ",$0 ,POINT (-88.044822 30.688943)
HOLY REDEEMER HOSPITAL,PA,MEADOWBROOK,$0 ,"$13,817 ",$0 ,POINT (-75.078598 40.112499)
ST LUKES CLINIC TREASU,ID,CALDWELL,$155 ,$70 ,$0 ,POINT (-116.68770500000001 43.662853)
RURAL HEALTH INC,IL,GOREVILLE,$70 ,$0 ,$0 ,POINT (-88.969702 37.55579)
PARKVIEW DEKALB HOSPIT,IN,AUBURN,"$28,261 ","$13,376 ",$0 ,POINT (-85.055871 41.366921)
METHODIST ASSOCIATES I,PA,PHILADELPHIA,$0 ,"$4,115 ",$0 ,POINT (-75.16562 39.951061)
STAMFORD HEALTH MEDICA,CT,NEW CANAAN,$83 ,"$1,217 ",$0 ,POINT (-73.493705 41.148498)
PHYSICIAN GROUP OF UTA,UT,SALT LAKE CITY,$0 ,"$16,964 ",$0 ,POINT (-111.888142 40.758478)
GEORGIA HIGHLANDS MEDI,GA,CUMMING,"$166,904 ","$8,889 ",$0 ,POINT (-84.140359 34.207048)
COMMUNITY HEALTH CARE,WA,SPANAWAY,$544 ,$0 ,$0 ,POINT (-122.42922600000001 47.104471)
ST LUKES PHYSICIAN GRO,PA,WALNUTPORT,$221 ,$147 ,$0 ,POINT (-75.598769 40.754277)
MASSACHUSETTS GENERAL,MA,EVERETT,$0 ,$231 ,$0 ,POINT (-71.054178 42.408497)
THIRD COAST EMERGENCY,TX,SAN ANTONIO,"$232,130 ","$89,130 ",$0 ,POINT (-98.494599 29.425172999999997)
BROOKLYN AVENUE EMERGE,MO,KANSAS CITY,"$77,022 ","$12,240 ",$0 ,POINT (-94.578559 39.099792)
SAINTS MEDICAL GROUP,OK,MUSTANG,$104 ,$0 ,$0 ,POINT (-97.72616 35.3917)
CENTRAL EMERGENCY PHYS,NC,SANFORD,"$9,912 ","$1,085 ",$0 ,POINT (-79.180571 35.47995)
APOGEE MEDICAL GROUP T,TN,SEWANEE,$0 ,$611 ,$0 ,POINT (-85.917464 35.194813)
PEDIATRIC RADIOLOGY OF,NY,ROCHESTER,$9 ,$0 ,$0 ,POINT (-77.612547 43.155708)
VISITING NURSE AND HOS,IN,FORT WAYNE,$0 ,$467 ,$0 ,POINT (-85.137495 41.077474)
FEASTER TRAIL EMERGENC,AR,ARKADELPHIA,"$4,959 ",$563 ,$0 ,POINT (-93.053523 34.120959)
VICTOR PAZOS MD PA,FL,HIALEAH,$0 ,"$18,027 ",$0 ,POINT (-80.281502 25.827202)
CALIFORNIA PACIFIC MED,CA,LAKEPORT,"$65,753 ","$8,699 ",$0 ,POINT (-122.915171 39.043171)
PARK RIDGE HOME HEALTH,NC,MILLS RIVER,$186 ,$0 ,$0 ,POINT (-82.56681400000001 35.388079)
CHERRY STREET HEALTH S,IL,CHICAGO,$121 ,$0 ,$0 ,POINT (-87.632398 41.88322900000001)
ZUFALL HEALTH CENTER,NJ,SOMERVILLE,$339 ,"$4,380 ",$0 ,POINT (-74.611731 40.56816)
SPECTRUM HEALTH MEDICA,MI,GRAND RAPIDS,$454 ,"$22,778 ",$0 ,POINT (-85.670209 42.965446)
MARIAN HEALTH ANESTHES,IA,SIOUX CITY,$0 ,$18 ,$0 ,POINT (-96.406436 42.496323)
STAMFORD HEALTH MEDICA,CT,STAMFORD,"$2,999 ","$155,967 ",$0 ,POINT (-73.53947500000001 41.05192400000001)
UNITED NEIGHBORHOOD HE,TN,NASHVILLE,$0 ,$122 ,$0 ,POINT (-86.779932 36.166687)
USACS INTEGRATED ACUTE,PA,SHARON,$0 ,"$1,418 ",$0 ,POINT (-80.495345 41.233012)
RENO EMERGENCY PHYSICI,NV,RENO,"$26,130 ","$4,886 ",$0 ,POINT (-119.81328300000001 39.526903)
KAMALJEET GIRN,IN,PORTAGE,$0 ,"$1,518 ",$0 ,POINT (-87.183255 41.584213)
UNIVERSITY OF UTAH ADU,UT,SALT LAKE CITY,$0 ,$43 ,$0 ,POINT (-111.888142 40.758478)
AULTMAN HOSPITAL,OH,CANTON,"$120,724 ","$522,102 ",$0 ,POINT (-81.37703600000002 40.797388)
EVANSTON REGIONAL HOSP,WY,MOUNTAIN VIEW,$399 ,$0 ,$0 ,POINT (-110.336283 41.271035)
UPMC ST MARGARET,PA,PITTSBURGH,"$4,871 ","$66,522 ",$0 ,POINT (-79.994945 40.442169)
WHITNEY YOUNG HEALTH C,NY,WATERVLIET,"$7,703 ",$115 ,$0 ,POINT (-73.702086 42.723123)
ALTRU HEALTH SYSTEM,ND,GRAND FORKS,"$2,783 ",$143 ,$0 ,POINT (-97.036068 47.925705)
CROSSROADS URGENT CARE,TN,MURFREESBORO,"$5,538 ",$174 ,$0 ,POINT (-86.391449 35.845963)
ST MARTIN EMERGENCY GR,LA,BREAUX BRIDGE,"$1,596 ",$366 ,$0 ,POINT (-91.896904 30.27636)
DR ANTONIO M ORTEGA,TX,EL PASO,$0 ,"$40,573 ",$0 ,POINT (-106.492257 31.76006)
FAMILY HEALTH CENTERS,IN,JEFFERSONVILLE,"$5,987 ",$36 ,$0 ,POINT (-85.72554 38.299811)
PRIMARY HEALTH CARE,IA,DES MOINES,"$2,149 ",$60 ,$0 ,POINT (-93.620309 41.588822)
LABORATORY SPECIALISTS,MI,DEARBORN,"$212,322 ","$9,160 ",$0 ,POINT (-83.17594 42.322141)
ESSENTIA HEALTH DEER R,MN,GRAND RAPIDS,$505 ,$0 ,$0 ,POINT (-93.526879 47.231455)
WEILL CORNELL UNIVERSI,NY,NEW YORK,$0 ,$352 ,$0 ,POINT (-74.007228 40.713054)
MERCY CLINIC OKLAHOMA,OK,PAULS VALLEY,"$1,021 ",$743 ,$0 ,POINT (-97.221364 34.740548)
BECKFORD AVENUE MEDICA,NC,HENDERSON,$548 ,$265 ,$0 ,POINT (-78.399157 36.329522)
PASCO COUNTY EMERGENCY,FL,NEW PORT RICHEY,"$165,090 ","$18,824 ",$0 ,POINT (-82.71407500000001 28.250201)
ST MARYS HOSPITAL,IL,DECATUR,"$11,874 ","$4,098 ",$0 ,POINT (-88.955851 39.841454)
MCLAREN PORT HURON,MI,DECKERVILLE,$0 ,$831 ,$0 ,POINT (-82.734991 43.526685)
VIRGINIA HOSPITAL CENT,VA,ARLINGTON,$563 ,$584 ,$0 ,POINT (-77.084755 38.890763)
TIDALHEALTH SPECIALTY,MD,SALISBURY,$9 ,"$3,078 ",$0 ,POINT (-75.599181 38.365568)
DEAN CLINIC,WI,MADISON,"$3,169 ","$1,006 ",$0 ,POINT (-89.385244 43.073926)
GERAGHTY FAMILY MEDICI,CO,CENTENNIAL,$145 ,$0 ,$0 ,POINT (-104.853811 39.597307)
CLINICAL CARE ASSOCIAT,PA,KENNETT SQUARE,$0 ,$85 ,$0 ,POINT (-75.710506 39.847045)
MISSION COMMUNITY ANES,NC,ASHEVILLE,$150 ,$0 ,$0 ,POINT (-82.550039 35.59588900000001)
INFECTIOUS DISEASE CON,GA,SUWANEE,$0 ,"$31,508 ",$0 ,POINT (-84.065935 34.058175)
TOWNSHIP OF NORTH BERG,NJ,NORTH BERGEN,$0 ,"$8,986 ",$0 ,POINT (-74.023344 40.793499)
CHINONYEREM NDUBUEZE M,TX,HOUSTON,$0 ,$688 ,$0 ,POINT (-95.369506 29.760803)
NOVANT MEDICAL GROUP,NC,KERNERSVILLE,"$14,215 ","$5,476 ",$0 ,POINT (-80.074659 36.120257)
CLINICAL CARE ASSOCIAT,PA,PHILADELPHIA,$0 ,$55 ,$0 ,POINT (-75.16562 39.951061)
HEALTHREACH COMMUNITY,ME,BELGRADE,$408 ,$0 ,$0 ,POINT (-69.8317 44.444922)
HEARTLAND INTERNATIONA,IL,CHICAGO,"$29,407 ","$7,711 ",$0 ,POINT (-87.632398 41.88322900000001)
DEFIANCE RADIOLOGIST A,OH,DEFIANCE,$0 ,$461 ,$0 ,POINT (-84.362106 41.286716)
CARENOW,TX,PLANO,"$8,364 ","$1,568 ",$0 ,POINT (-96.697586 33.019695)
MOHD HOSSAIN,NY,HOLLIS,"$3,540 ",$130 ,$0 ,POINT (-73.767502 40.713299)
SMITH ALLERGY AND ASTH,NY,CORNING,"$6,338 ",$979 ,$0 ,POINT (-77.05306 42.141185)
ST CLARES HOSPITAL,NJ,MOUNTAIN LAKES,"$7,183 ","$72,499 ",$0 ,POINT (-74.450376 40.887142)
PATIENT FIRST,MD,GLEN BURNIE,"$1,290 ",$0 ,$0 ,POINT (-76.62498400000001 39.164818)
ALLINA HEALTH SYSTEM,MN,MINNEAPOLIS,"$50,100 ","$508,034 ",$0 ,POINT (-93.264346 44.977479)
COTTON ONEIL CLINIC,KS,ROSSVILLE,$573 ,$0 ,$0 ,POINT (-95.952197 39.137009)
TEXAS TECH UNIVERSITY,TX,EL PASO,$0 ,$780 ,$0 ,POINT (-106.492257 31.76006)
BOUNDARY PEAK EMERGENC,FL,SANFORD,"$68,646 ","$17,391 ",$0 ,POINT (-81.273111 28.800795000000004)
Christ Health Center I,AL,BIRMINGHAM,"$343,152 ","$8,227 ",$0 ,POINT (-86.807705 33.522859)
6 PALO ALTO MEDICAL FO,CA,SANTA ROSA,$427 ,$118 ,$0 ,POINT (-122.71564199999999 38.439698)
PARKLAND AMBULANCE SER,NY,SCHENECTADY,$0 ,"$15,238 ",$0 ,POINT (-73.944103 42.814219)
JOHNS HOPKINS COMMUNIT,MD,BETHESDA,$0 ,$601 ,$0 ,POINT (-77.094135 38.984757)
MOUNT SINAI MEDICAL CE,FL,AVENTURA,$0 ,$28 ,$0 ,POINT (-80.139787 25.957133)
EXETER HOSPITAL INC,NH,EXETER,"$9,575 ",$699 ,$0 ,POINT (-70.950645 42.981659)
PENINSULA COMMUNITY HE,WA,BREMERTON,"$1,319 ",$0 ,$0 ,POINT (-122.63293000000002 47.567371)
UNITYPOINT AT HOME,IA,FORT DODGE,$0 ,$270 ,$0 ,POINT (-94.169388 42.501169)
SOUTHERN INYO HOSPITAL,CA,LONE PINE,$60 ,$0 ,$0 ,POINT (-118.06296799999998 36.60490800000001)
AABP LLP,NY,NEW YORK,$0 ,"$12,844 ",$0 ,POINT (-74.007228 40.713054)
HOLY CROSS MEDICAL GRO,FL,POMPANO BEACH,$0 ,$81 ,$0 ,POINT (-80.126118 26.231477)
SK PRIMARY CARE LLC,TX,IRVING,$277 ,$0 ,$0 ,POINT (-96.949933 32.813879)
REGIONAL HEALTH SERVIC,PA,ERIE,$617 ,"$2,770 ",$0 ,POINT (-80.08258 42.127951)
HEALTH TEXAS PROVIDER,TX,PLANO,$0 ,"$1,371 ",$0 ,POINT (-96.697586 33.019695)
SUSQUEHANNA PHYSICIAN,PA,SOUTH WILLIAMSPORT,$107 ,$0 ,$0 ,POINT (-77.001915 41.228527)
ST MARYS HOSPITAL SUPE,WI,SPOONER,"$1,034 ",$37 ,$0 ,POINT (-91.889598 45.822484)
BRUNSWIK COMMUNITY HOS,NC,BOLIVIA,"$162,326 ","$112,728 ",$0 ,POINT (-78.147006 34.069229)
H AND M MOLECULAR DIAG,CA,SAN DIEGO,"$322,167 ",$0 ,$0 ,POINT (-117.163817 32.71576)
ADVANTAGECARE PHYSICAN,NY,BROOKLYN,"$1,128 ",$51 ,$0 ,POINT (-73.990996 40.692529)
SANFORD HEALTH NETWORK,MN,CLEARBROOK,$523 ,$64 ,$0 ,POINT (-95.430899 47.69284)
THRIVE FAMILY MEDICINE,SC,GREENVILLE,$563 ,$176 ,$0 ,POINT (-82.398964 34.850746)
CAPITAL REGIONAL CARDI,FL,TALLAHASSEE,$235 ,$0 ,$0 ,POINT (-84.278328 30.440741)
PARTNERS COMMUNITY PHY,MA,BOSTON,$29 ,$311 ,$0 ,POINT (-71.056742 42.358894)
HOLY NAME PRIMARY CARE,NJ,TEANECK,$0 ,"$2,295 ",$0 ,POINT (-74.006556 40.88482)
PRIVIA MEDICAL GROUP O,GA,GAINESVILLE,$195 ,$0 ,$0 ,POINT (-83.829629 34.298772)
RICARDO ABREU MD PA,TX,EDINBURG,$0 ,"$72,124 ",$0 ,POINT (-98.162704 26.299359)
JOHNSON MEMORIAL HEALT,MN,DAWSON,"$6,147 ","$1,149 ",$0 ,POINT (-96.054659 44.932863)
TIDEWATER KIDNEY SPECI,VA,NORFOLK,$0 ,"$1,174 ",$0 ,POINT (-76.285913 36.846164)
COUNTY LINE MEDICAL SE,NM,CHAPARRAL,$0 ,"$1,275 ",$0 ,POINT (-106.419717 32.03432)
MAIMONIDES MEDICAL CEN,NY,BROOKLYN,"$83,305 ","$768,130 ",$0 ,POINT (-73.990996 40.692529)
FAMILY FIRST MEDICAL C,MS,BOONEVILLE,"$4,918 ","$1,406 ",$0 ,POINT (-88.56419 34.655452000000004)
RAMESH CHADALAVADA,TN,SPRINGFIELD,$0 ,"$1,809 ",$0 ,POINT (-86.880535 36.498423)
STONECREST MEDICAL CEN,TN,NASHVILLE,"$360,902 ","$2,544,485 ",$0 ,POINT (-86.779932 36.166687)
NEWTON WELLESLEY AMBUL,MA,NATICK,$9 ,$0 ,$0 ,POINT (-71.347292 42.283773)
BAY AREA EMERGENCY PAR,TX,SWEENY,"$14,899 ","$4,388 ",$0 ,POINT (-95.698836 29.038934)
PULMONARY PHYSICIANS O,FL,MIAMI,$0 ,"$74,811 ",$0 ,POINT (-80.194702 25.775084)
CAROLINA DERMATOLOGY,SC,GREENVILLE,$126 ,"$2,538 ",$0 ,POINT (-82.398964 34.850746)
WESTERN CONNECTICUT ME,CT,WESTPORT,$18 ,"$1,030 ",$0 ,POINT (-73.353182 41.14044)
WESTERN PULMONARY MEDI,CA,ANAHEIM,$0 ,"$2,205 ",$0 ,POINT (-117.915638 33.834492)
HAZLETON PROFESSIONAL,PA,HAZLETON,"$4,484 ",$665 ,$0 ,POINT (-75.974446 40.960001)
NORTHWEST TENNESSEE CA,TN,UNION CITY,$0 ,$437 ,$0 ,POINT (-89.057086 36.425674)
INTERMOUNTAIN HEALTHCA,UT,AMERICAN FORK,"$45,844 ","$170,224 ",$0 ,POINT (-111.795867 40.376761)
SANTIBANEZ AGUIRRE PC,OH,ELYRIA,$0 ,$339 ,$0 ,POINT (-82.10782 41.36771400000001)
CHW MEDICAL FOUNDATION,CA,SACRAMENTO,$0 ,"$4,362 ",$0 ,POINT (-121.50012 38.582087)
AVERA QUEEN OF PEACE,SD,MITCHELL,"$49,978 ","$29,780 ",$0 ,POINT (-98.029628 43.709418)
JOHN MUIR PHYSICIAN NE,CA,LAFAYETTE,$29 ,$0 ,$0 ,POINT (-122.12747399999999 37.890797)
APPLETON EMERGENCY SER,WI,APPLETON,"$19,109 ","$6,407 ",$0 ,POINT (-88.40724 44.261982)
LANDER MEDICAL CLINIC,WY,LANDER,"$5,940 ","$2,423 ",$0 ,POINT (-108.735253 42.833985)
MICHAEL ALLOWAY,AZ,TUCSON,$0 ,$313 ,$0 ,POINT (-110.971225 32.221878)
DIVINE SAVIOR HEALTHCA,WI,OXFORD,$501 ,$168 ,$0 ,POINT (-89.567165 43.781499)
LAHEY PHYSICIAN COMMUN,MA,DANVERS,"$3,741 ","$1,214 ",$0 ,POINT (-70.935673 42.565456000000005)
DFW MEDICAL ASSOCIATES,TX,ARLINGTON,$0 ,"$1,340 ",$0 ,POINT (-97.10711 32.735594)
MCCI OF TEXAS HOSPITAL,FL,JUPITER,$0 ,"$2,145 ",$0 ,POINT (-80.099736 26.934145)
WELLSTAR MARIETTA INTE,GA,ROSWELL,$76 ,$52 ,$0 ,POINT (-84.361671 34.021654)
CPH HOSPITAL MANAGEMEN,CA,NORWALK,"$14,777 ","$21,130 ",$0 ,POINT (-118.07249399999999 33.914183)
MIDWEST EMERGENCY GOOD,IL,MOUNT VERNON,"$15,116 ","$2,085 ",$0 ,POINT (-88.904734 38.317612)
DELTA HEALTH CENTER IN,MS,GREENVILLE,"$5,044 ",$0 ,$0 ,POINT (-91.05346300000001 33.399438)
INTEGRATED REHAB CONSU,IL,INVERNESS,$0 ,$872 ,$0 ,POINT (-88.077874 42.124536)
STOUGHTON HOSPITAL ASS,WI,OREGON,$610 ,$0 ,$0 ,POINT (-89.383942 42.925797)
FIRE COMMISSIONERS DIS,NJ,CEDAR KNOLLS,$0 ,$467 ,$0 ,POINT (-74.449203 40.821899)
CHEROKEE HEALTH SYSTEM,TN,NEW TAZEWELL,"$2,178 ",$137 ,$0 ,POINT (-83.603568 36.440505)
Magnolia Diagnostics L,TX,DALLAS,"$577,000 ","$3,280,365 ",$0 ,POINT (-96.796215 32.777977)
NORTHWEST PHYSICIANS L,AR,FAYETTEVILLE,$0 ,$893 ,$0 ,POINT (-94.16058300000002 36.061928)
MEDICAL SCIENCES LABOR,CA,ANAHEIM,"$9,100 ",$100 ,$0 ,POINT (-117.915638 33.834492)
PM PEDIATRICS OF CONNE,CT,WEST HARTFORD,$163 ,$0 ,$0 ,POINT (-72.741807 41.762008)
ASCENSION MEDICAL GROU,KS,DERBY,$243 ,$0 ,$0 ,POINT (-97.248009 37.548065)
UNIVERSITY PHYSICIANS,CO,DENVER,$68 ,$146 ,$0 ,POINT (-104.984853 39.738453)
MARIAH M ASSOCIATES LL,DC,WASHINGTON,$0 ,"$5,806 ",$0 ,POINT (-77.019912 38.892062)
METROPLEX INFECTIONS D,TX,FORT WORTH,$0 ,"$8,575 ",$0 ,POINT (-97.340038 32.739977)
ALEXANDRIA IMMEDIATE C,MD,BETHESDA,"$1,133 ",$244 ,$0 ,POINT (-77.094135 38.984757)
CAROLINA KIDNEY ASSOCI,NC,GREENSBORO,$0 ,"$1,720 ",$0 ,POINT (-79.793899 36.072701)
OAKLEAF CLINICS SC EAU,WI,BLACK RIVER FALLS,$0 ,$26 ,$0 ,POINT (-90.84971 44.295035)
THE RENAL CARE CLINIC,NJ,HACKETTSTOWN,$0 ,"$4,228 ",$0 ,POINT (-74.827567 40.852269)
HOANG M PHAN MD PA,TX,HOUSTON,$0 ,$210 ,$0 ,POINT (-95.369506 29.760803)
SE EMERGENCY PHYSICIAN,TN,COLLIERVILLE,"$19,755 ","$6,842 ",$0 ,POINT (-89.668627 35.045572)
BAPTIST HEALTH SERVICE,AR,GREENWOOD,$0 ,$69 ,$0 ,POINT (-94.255811 35.212437)
TEXAS HEALTH PHYSICIAN,TX,BEDFORD,$97 ,$126 ,$0 ,POINT (-97.143237 32.844252)
GENERAL AND MINIMALLY,TX,TOMBALL,$0 ,$827 ,$0 ,POINT (-95.616006 30.097205000000002)
BUCKEYE VALLEY RURAL V,AZ,BUCKEYE,$0 ,"$6,789 ",$0 ,POINT (-112.583575 33.37049700000001)
EYAD HIJAZIN,NY,MAMARONECK,"$2,358 ",$0 ,$0 ,POINT (-73.734667 40.950936000000006)
SE EMERGENCY PHYSICIAN,TN,JEFFERSON CITY,"$5,827 ","$1,263 ",$0 ,POINT (-83.490238 36.117917)
CHW MEDICAL FOUNDATION,CA,CITRUS HEIGHTS,$104 ,$0 ,$0 ,POINT (-121.29829 38.678298)
PUBLIC HOSPITAL DIST 2,WA,ANACORTES,"$17,280 ","$2,735 ",$0 ,POINT (-122.631503 48.505447)
DES PLAINES EYECARE CE,IL,DES PLAINES,$0 ,"$1,806 ",$0 ,POINT (-87.889318 42.042289)
SOUTHWEST WOMENS HEALT,TX,HOUSTON,$82 ,$0 ,$0 ,POINT (-95.369506 29.760803)
MERCY CLINIC OKLAHOMA,OK,EDMOND,"$4,916 ","$4,238 ",$0 ,POINT (-97.481511 35.65314)
THE METHODIST HOSPITAL,IN,SCHERERVILLE,$0 ,$657 ,$0 ,POINT (-87.446698 41.492461)
MOUNT CARMEL HEALTH PR,OH,COLUMBUS,$0 ,$72 ,$0 ,POINT (-82.996216 39.962649)
COASTAL CAROLINA HEALT,NC,BAYBORO,"$2,640 ",$37 ,$0 ,POINT (-76.768303 35.143548)
COORDINATED HEALTH LLC,IN,NORTH VERNON,$956 ,$0 ,$0 ,POINT (-85.629525 39.005959)
KOMEDIX MEDICAL ASSOCI,TX,NEW BRAUNFELS,"$47,910 ","$9,730 ",$0 ,POINT (-98.11972500000002 29.709884000000002)
AMPLA HEALTH,CA,OROVILLE,"$3,027 ",$48 ,$0 ,POINT (-121.554608 39.512339)
Star Lab Corp,IL,FRANKLIN PARK,"$11,069,504 ",$929 ,$0 ,POINT (-87.884678 41.932813)
24 ON PHYSICIANS PC,GA,WARNER ROBINS,$0 ,$592 ,$0 ,POINT (-83.612988 32.629183)
NOVANT MEDICAL GROUP,NC,HUNTERSVILLE,"$22,925 ","$21,978 ",$0 ,POINT (-80.848994 35.410565)
CLINCH VALLEY PHYSICIA,VA,RICHLANDS,$513 ,$0 ,$0 ,POINT (-81.800485 37.094154)
Quick Med Center LLC,AZ,GLENDALE,"$400,117 ","$15,079 ",$0 ,POINT (-112.18610600000001 33.539812)
BAPTIST HEALTH MEDICAL,AR,MALVERN,"$66,739 ","$7,968 ",$0 ,POINT (-92.812347 34.362369)
MIAH KIM,NJ,FREEHOLD,$0 ,"$2,906 ",$0 ,POINT (-74.274349 40.259978)
SOUTHEAST ARKANSAS HOS,AR,PINE BLUFF,$0 ,"$13,360 ",$0 ,POINT (-92.00200500000001 34.221586)
MOSES CONE PHYSICIANS,NC,REIDSVILLE,$0 ,"$62,435 ",$0 ,POINT (-79.666191 36.354961)
BHS PHYSICIANS NETWORK,TX,SAN ANTONIO,$256 ,"$2,296 ",$0 ,POINT (-98.494599 29.425172999999997)
NORTH MEMPHIS MEDICAL,TN,MEMPHIS,$0 ,"$7,031 ",$0 ,POINT (-90.052136 35.143378)
NEPHROLOGY AND HYPERTE,CT,MIDDLEBURY,$0 ,"$3,557 ",$0 ,POINT (-73.127625 41.529492)
COMMUNITY HEALTH SERVI,TX,GREENVILLE,"$7,565 ",$366 ,$0 ,POINT (-96.107237 33.139083)
ST VINCENT JENNINGS HO,IN,NORTH VERNON,"$25,962 ","$3,241 ",$0 ,POINT (-85.629525 39.005959)
LOWCOUNTRY INFECTIOUS,SC,SUMMERVILLE,$0 ,"$3,020 ",$0 ,POINT (-80.177584 33.019791)
DUVAL EMERGENCY GROUP,FL,NORTH MIAMI BEACH,"$27,605 ","$23,460 ",$0 ,POINT (-80.164398 25.934242)
THE AUSTIN DIAGNOSTIC,TX,SAN MARCOS,$0 ,"$2,459 ",$0 ,POINT (-97.939985 29.882083000000005)
VITUITY NEVADA KOURY A,NV,HENDERSON,"$89,670 ","$23,777 ",$0 ,POINT (-114.98445500000001 36.034095)
HENRY FORD HEALTH SYST,MI,GROSSE POINTE FARMS,$0 ,$76 ,$0 ,POINT (-82.893872 42.406906)
ABINGTON EMERGENCY PHY,PA,LANSDALE,"$3,064 ","$1,262 ",$0 ,POINT (-75.28374 40.241561)
OTTOMEYER CLINICS LLC,MN,SAINT PAUL,$23 ,$0 ,$0 ,POINT (-93.094281 44.943719)
BAPTIST HEALTH STUTTGA,AR,STUTTGART,"$25,785 ","$5,441 ",$0 ,POINT (-91.552576 34.50021900000001)
FAMILY CARE CENTERS IN,PA,STROUDSBURG,"$6,257 ",$867 ,$0 ,POINT (-75.197413 40.984479)
PINNACLE MEDICAL CLINI,NC,CHARLOTTE,"$1,251 ",$0 ,$0 ,POINT (-80.840161 35.222936)
ST JOHN HOSPITAL AND M,MI,HARRISON TOWNSHIP,$922 ,$78 ,$0 ,POINT (-82.833504 42.5872)
MEDSTAR GEORGETOWN MED,VA,VIENNA,$0 ,$44 ,$0 ,POINT (-77.262818 38.903484)
UPTOWN EMERGENCY PHYSI,IL,MARYVILLE,$952 ,"$3,132 ",$0 ,POINT (-89.956563 38.726038)
DR ABDULKADER DAHHAN M,KY,HARLAN,"$1,615 ",$21 ,$0 ,POINT (-83.323249 36.843135)
DILIGENT URGENT CARE L,NJ,UNION CITY,"$1,601,786 ","$101,351 ",$0 ,POINT (-74.023575 40.779442)
PULMONARY ASSOC OF THE,AL,BIRMINGHAM,$0 ,"$4,120 ",$0 ,POINT (-86.807705 33.522859)
GULF REGIONAL PATHOLOG,AL,MOBILE,$0 ,$97 ,$0 ,POINT (-88.044822 30.688943)
VITAE HEALTH OF ILLINO,IL,SKOKIE,$0 ,"$1,441 ",$0 ,POINT (-87.754692 42.026307)
CITY MEDICAL OF UPPER,NY,NEW YORK,$91 ,$0 ,$0 ,POINT (-74.007228 40.713054)
MORROW COUNTY HEALTH D,OR,IRRIGON,"$9,535 ",$448 ,$0 ,POINT (-119.490065 45.8967)
SOUTHWEST SUFFOLK,NY,WEST ISLIP,$0 ,"$37,622 ",$0 ,POINT (-73.306541 40.706256)
ST CAMILLUS URGENT CAR,KY,OWENSBORO,"$13,166 ","$3,321 ",$0 ,POINT (-87.111033 37.772696)
METHODIST ASSOCIATES I,NJ,PLAINSBORO,$0 ,$155 ,$0 ,POINT (-74.592178 40.33735)
AURORA ADVANCED HEALTH,WI,MILWAUKEE,$0 ,$77 ,$0 ,POINT (-87.909421 43.041072)
ST FRANCIS HOSPITAL IN,DE,WILMINGTON,$286 ,$87 ,$0 ,POINT (-75.5451 39.744432)
ST VINCENT MEDICAL GRO,IN,ZIONSVILLE,$200 ,$0 ,$0 ,POINT (-86.266869 39.950320000000005)
ST CLAIR SPECIALTY PHY,ID,BOISE,$0 ,$484 ,$0 ,POINT (-116.20157900000001 43.615791)
ADVANTAGECARE PHYSICAN,NY,BROOKLYN,"$14,780 ",$421 ,$0 ,POINT (-73.990996 40.692529)
LONESTAR HOSPITAL MEDI,TX,EL PASO,$0 ,$108 ,$0 ,POINT (-106.492257 31.76006)
UNIVERSITY OF UTAH ADU,UT,SALT LAKE CITY,$178 ,"$35,881 ",$0 ,POINT (-111.888142 40.758478)
MMC EMERGENCY PHYSICIA,CA,SANTA MARIA,"$19,373 ","$6,527 ",$0 ,POINT (-120.43588099999998 34.948403)
NYPMG QUEENS,NY,JACKSON HEIGHTS,"$2,352 ",$143 ,$0 ,POINT (-73.7453 42.016701)
INTEGRATIVE EMERGENCY,TX,FORT WORTH,$0 ,$182 ,$0 ,POINT (-97.340038 32.739977)
HURON VALLEY AMBULANCE,MI,ANN ARBOR,$0 ,"$3,216 ",$0 ,POINT (-83.748478 42.281419)
MEDICAL CENTER CORP,CO,DENVER,"$1,682 ",$77 ,$0 ,POINT (-104.984853 39.738453)
UNIVERSITY PHYSICIANS,NJ,ELIZABETH,$0 ,$112 ,$0 ,POINT (-74.211653 40.661927)
URGENT CARE OF ERWIN L,TN,ERWIN,$304 ,$307 ,$0 ,POINT (-82.413996 36.147506)
WESTHEALTH SURGERY CEN,MN,SAINT PAUL,"$5,747 ",$700 ,$0 ,POINT (-93.094281 44.943719)
THE URGENCY ROOM,MN,HOPKINS,"$2,620 ",$284 ,$0 ,POINT (-93.413946 44.924392)
APOGEE MEDICAL GROUP M,MI,BAY CITY,$0 ,$313 ,$0 ,POINT (-83.884521 43.597772)
FRANCISCAN PHYSICIAN N,IN,FRANKLIN,$0 ,$50 ,$0 ,POINT (-86.066666 39.494444)
